,DIVISION,ID,Longitude,Latitude
51,Buffalo,H539.1,-78.76702899999998,42.900724
52,Buffalo,C69.1,-77.440433,43.101153
53,Syracuse,H1038.1,-76.16735099999998,43.09438
54,New York,B2063.2,-74.184506,41.176791
55,Buffalo,H876.2,-79.653383,42.300403
56,Albany,H998.2,-74.440504,42.917401
57,Buffalo,H1010.2,-78.37057299999998,43.010168
58,New York,H999.1,-73.83259599999998,40.868368
59,Albany,H2189.1,-74.03946899999998,41.935063
60,New York,B517.2,-73.93543699999998,41.095357
61,Albany,B605.3,-74.289263,42.930927
62,Albany,C238.1,-73.58167799999998,43.260518
63,Albany,C254.1,-74.14078399999998,42.917097
64,Buffalo,B428.2,-78.978054,43.026985
65,Buffalo,H876.1,-79.653383,42.300403
66,Syracuse,A855.1,-74.802992,43.015495
67,Buffalo,B556.1,-78.990746,43.064003
68,Syracuse,H1143.1,-75.282174,43.136101
69,Syracuse,H810.1,-74.903495,43.00746
70,New York,B621.1,-74.159676,41.118823
71,Syracuse,C7.2,-76.28879899999998,43.211423
72,Albany,C138.1,-74.706259,42.992244
73,New York,B581.1,-73.791218,40.906267
74,Buffalo,B560.1,-78.791008,42.848287
75,Albany,B633.1,-73.696521,42.485981
76,Syracuse,C176.1,-77.070299,43.052287
77,New York,H501.1,-73.984058,41.101226
78,Albany,H2125.2,-73.95076799999998,42.135285
79,Buffalo,B899.1,-77.729022,43.04348
80,Syracuse,H905.1,-76.794072,42.981713
81,Syracuse,B349.1,-76.059729,43.094418
82,Syracuse,A820.1,-77.41339499999998,42.99897
83,Buffalo,B978.1,-77.799023,43.0407
84,Albany,H541.2,-74.001158,42.778933
85,Albany,B84.1,-74.036428,41.938769
86,Syracuse,H890.1,-76.420812,43.085441
87,Albany,H884.1,-74.22315899999998,42.928675
88,New York,B2232.1,-74.14993699999998,41.274979
89,Syracuse,H1081.1,-74.86011999999998,43.01101
90,Syracuse,H403.2,-75.98666199999998,43.093995
91,New York,H1128.1,-74.079049,41.669504
92,Syracuse,H997.1,-74.85820599999998,43.01136
93,New York,H853.1,-73.72869799999998,40.965515
94,New York,B2237.1,-74.05052499999998,41.076688
95,New York,H1006.2,-74.07156,41.414143
96,Albany,A848.1,-73.956535,42.110831
97,Syracuse,H886.1,-76.924232,42.958034
98,New York,B284.3,-73.78351399999998,40.914084
99,Albany,B103.1,-73.780601,42.620222
100,Buffalo,B652.1,-78.978054,43.026985
101,Albany,C253.2,-73.701738,42.802867
102,Buffalo,H1015.1,-78.977188,43.025686
103,Syracuse,B455.1,-75.031586,43.026371
104,Syracuse,B528.1,-75.12406199999998,43.085207
105,Syracuse,C235.2,-75.22263599999998,43.108555
106,Albany,H2190.1,-73.994085,42.0281
107,Buffalo,H507.1,-78.579864,42.958113
108,Syracuse,B612.1,-75.24704,43.125978
109,Buffalo,B619.1,-78.83697499999998,42.86934
110,Albany,B975.1,-74.055741,41.815849
111,New York,H1096.1,-74.07885799999998,41.627713
112,New York,B284.1,-73.78351399999998,40.914084
113,Syracuse,H844.1,-75.078648,43.062224
114,Buffalo,H413.1,-78.87916699999998,42.880244
115,New York,H14.2,-73.664438,40.989843
116,Buffalo,B471.2,-79.092268,42.564503
117,New York,B948.1,-74.088103,41.110797
118,Buffalo,H1150.1,-78.977188,43.025686
119,Buffalo,B925.5,-79.094812,42.562304
120,Buffalo,B531.1,-78.76636899999998,42.944119
121,Albany,H2191.1,-73.80786899999998,42.485567
122,Buffalo,C217.1,-77.54537999999998,43.090854
123,Buffalo,H1089.1,-78.766391,42.915183
124,Syracuse,A868.1,-74.80219099999998,43.017114
125,Syracuse,H1072.1,-76.144322,43.092269
126,Syracuse,A855.2,-74.802992,43.015495
127,Buffalo,B900.1,-79.153102,42.517669
128,Albany,H899.3,-74.04436099999998,41.92
129,Syracuse,C96.1,-76.473276,43.400549
130,Buffalo,B454.1,-78.79960199999998,42.81089
131,Albany,H2034.1,-73.827579,42.661161
132,Syracuse,C57.1,-75.208059,43.10623
133,Albany,H2125.1,-73.95076799999998,42.135285
134,New York,B895.1,-74.080629,41.553867
135,Syracuse,H403.1,-75.98666199999998,43.093995
136,Syracuse,C32.1,-76.13906799999998,43.240906
137,Albany,H1069.1,-73.461003,42.373737
138,New York,B351.1,-74.039876,41.091895
139,Buffalo,H874.1,-78.926409,42.697015
140,Albany,C257.1,-74.288589,42.94559
141,New York,B540.1,-73.89333499999998,41.070116
142,New York,H541.1,-73.8563,40.9784
143,Albany,H1109.1,-74.01627499999998,42.791475
144,Buffalo,C143.1,-77.650757,43.125833
145,Buffalo,H1016.1,-78.794711,42.813289
146,Buffalo,H1054.1,-78.801293,42.810153
147,Buffalo,H1042.2,-78.75264699999998,42.952034
148,Albany,B481.1,-74.360336,42.944869
149,Syracuse,B557.2,-75.146197,43.094761
150,Buffalo,A821.1,-78.793974,42.813846
151,New York,H1126.1,-73.974484,41.10105
152,Buffalo,H894.1,-78.82141699999998,42.762488
153,Albany,H1100.1,-73.90115,42.734604
154,New York,B920.1,-73.828806,40.861654
155,New York,H881.1,-74.18432099999998,41.16419
156,Syracuse,C181.1,-77.016852,43.061887
157,New York,B2242.1,-73.851151,41.008151
158,Albany,H542.1,-74.05781899999998,41.837464
159,Syracuse,B482.1,-76.989952,42.954967
160,Syracuse,H511.1,-76.653236,43.030977
161,Syracuse,H1087.1,-74.697704,42.990425
162,Buffalo,H1014.2,-79.738,42.265891
163,Buffalo,H811.1,-78.96128899999998,42.658749
164,Syracuse,H886.2,-76.924232,42.958034
165,Albany,B117.1,-74.196672,42.922991
166,New York,B889.1,-74.07403499999998,41.411925
167,Albany,B974.1,-73.770431,42.508508
168,Albany,C241.1,-73.687004,42.794503
169,Buffalo,B326.2,-78.990741,43.06834
170,Albany,H2191.2,-73.788825,42.574452
171,Albany,H2174.1,-73.94781999999998,42.761016
172,Syracuse,C235.1,-75.22263599999998,43.108555
173,Buffalo,B907.1,-78.98411199999998,43.036077
174,New York,A754.1,-74.08534299999998,41.577766
175,Syracuse,C45.1,-76.78599599999998,42.91479
176,Syracuse,H820.2,-75.56457,43.125996
177,New York,B2231.1,-74.155597,41.265831
178,Buffalo,H895.1,-79.06559,42.581062
179,Syracuse,H911.3,-76.23337499999998,43.118117
180,New York,H1006.1,-74.07156,41.414143
181,Syracuse,H962.1,-74.92375599999998,43.013163
182,Syracuse,B611.1,-76.16735099999998,43.09438
183,New York,H1002.1,-73.8563,40.9784
184,Albany,C261.1,-74.140488,42.917912
185,Albany,C253.1,-74.288589,42.94559
186,New York,B905.4,-73.89333499999998,41.070116
187,New York,H1079.1,-74.06505199999998,41.739683
188,New York,H854.1,-74.047437,41.08195
189,Albany,H899.2,-74.055741,41.815849
190,Syracuse,B421.1,-76.169095,43.09506
191,Buffalo,H873.1,-78.840083,42.743973
192,Albany,C76.1,-73.680965,42.788192
193,Albany,A826.1,-73.999871,42.013906
194,Syracuse,B158.1,-74.88035499999998,43.005239
195,Albany,C249.1,-73.696295,42.802168
196,Buffalo,B650.1,-78.978054,43.026985
197,Albany,C168.1,-73.579913,43.161512
198,Buffalo,B527.1,-78.51476499999998,42.973904
199,Albany,H1084.1,-74.22315899999998,42.928675
200,New York,H1131.1,-74.07403499999998,41.411925
201,Buffalo,H1116.1,-78.792202,42.832674
202,Albany,B962.1,-73.770431,42.508508
203,New York,H37.2,-74.158945,41.259045
204,Buffalo,B471.3,-79.08194399999998,42.573196
205,Buffalo,B947.1,-78.981503,43.032185
206,Albany,H340.1,-73.895618,42.730494
207,Albany,B959.1,-73.589453,42.461726
208,Buffalo,B442.1,-78.413542,43.002987
209,Albany,B660.1,-73.893585,42.242804
210,Buffalo,H1073.1,-78.91455,42.970624
211,Syracuse,C46.1,-76.762309,42.996894
212,Buffalo,A860.1,-78.989091,42.635765
213,Albany,B938.1,-73.770431,42.508508
214,Buffalo,B944.1,-78.940905,43.000894
215,Albany,H856.1,-73.58127299999998,42.45789
216,Albany,C240.2,-74.290463,42.945019
217,Buffalo,H2180.1,-78.62713499999998,42.948876
218,Buffalo,H1148.1,-79.44288899999998,42.406891
219,Buffalo,B594.2,-78.990741,43.06834
220,Buffalo,B513.1,-78.687965,42.948901
221,New York,B596.1,-73.74146,40.957642
222,Buffalo,B942.1,-79.30503,42.462186
223,Albany,H2124.2,-74.46716999999998,42.896873
224,Syracuse,B412.1,-77.18165899999998,42.974082
225,Buffalo,H410.1,-77.780049,43.044243
226,Buffalo,B894.1,-78.821588,42.868838
227,Albany,C174.1,-74.577062,42.908248
228,Syracuse,A841.1,-76.560556,43.060046
229,Albany,C140.1,-73.991392,42.829348
230,Albany,H1121.1,-73.95076799999998,42.135285
231,Buffalo,B467.2,-78.978054,43.026985
232,Buffalo,B512.1,-78.082839,43.017757
233,Albany,B963.2,-73.786494,42.513827
234,Syracuse,H908.2,-75.46173799999998,43.132106
235,Buffalo,H1014.1,-78.768476,42.883444
236,Syracuse,A818.1,-75.841598,43.096069
237,Albany,H1113.1,-74.046165,42.869712
238,New York,H1085.1,-74.18432099999998,41.16419
239,New York,H308.1,-74.074464,41.509472
240,Buffalo,H1095.1,-79.653383,42.300403
241,Albany,H899.1,-74.055741,41.815849
242,Buffalo,C62.1,-77.544904,43.091204
243,Syracuse,H887.1,-75.282174,43.136101
244,New York,B882.1,-74.112476,41.325521
245,Buffalo,B194.1,-78.76343099999998,42.949363
246,Syracuse,H1087.2,-74.66876499999998,42.98826
247,Albany,C173.1,-74.44644599999998,42.91803
248,Buffalo,H825.1,-78.81654799999998,42.792017
249,Buffalo,H1059.5,-78.408851,43.00563
250,Syracuse,H1025.1,-76.632283,43.038979
251,New York,B568.1,-73.85727699999998,40.92827
252,New York,B284.2,-73.78351399999998,40.914084
253,Syracuse,C30.1,-76.30070399999998,43.2288
254,New York,H1004.1,-74.07832399999998,41.665198
255,Albany,H81.1,-73.58268599999998,42.458893
256,New York,H952.1,-74.074245,41.103417
257,Albany,H1043.1,-73.78117,42.632663
258,Buffalo,C47.1,-77.63333699999998,43.116874
259,Albany,B130.1,-73.770431,42.508508
260,New York,B2225.1,-73.72869799999998,40.965515
261,New York,H877.1,-73.80701,40.885939
262,Syracuse,B422.1,-76.227445,43.118019
263,Buffalo,H1117.5,-79.074043,42.577429
