Data Through Date,Eligibility,Project Name,Solicitation Name,Fixed REC Price,Index REC Strike Price,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWAC),Installed Energy Storage Energy Capacity (MWhAC),NYISO Zone,Interconnection Queue Number,PTID,Permit Process,Article 10 or 94C Case Number,Second Article 10 or 94C Case Number,Article 7,Federal Permitting Mechanism,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,Transmission Capacity (HVDC),Georeference
10/20/2022,Tier 1,Tayandenega Solar,RESRFP17-1,23.00,,Solar,New,,"Tayandenega Solar, LLC",Greenbacker Renewable Energy Corporation,,,Capital,565,,SEQR,,,,,13452,Montgomery,NY,Mohawk Valley,Under Development,2023,20,19.99,19.39,35993,43191,,,POINT (-74.67843 42.99876)
10/20/2022,Tier 1,Bald Mountain Solar,RESRFP19-1,,65.1,Solar,New,,Bald Mountain Solar LLC,Boralex,,,Capital,853,,SEQR,,,,,12834,Washington,NY,Capital Region,Under Development,2024,20,19.99,19.99,33446,40135,,,POINT (-73.49696 43.08752)
10/20/2022,Tier 1,Easton Solar Farm,RESRFP21-1,,,Solar,New,,Easton Solar LLC,Boralex,,,Capital,"1,035",,SEQR,,,,,12834,Washington,NY,Capital Region,Under Development,2024,20,20,20,38369,46042,,,POINT (-73.49696 43.08752)
10/20/2022,Tier 1,ELP Rotterdam Solar,RESRFP21-1,,,Solar,New,,,East Light Partners,,,Capital,"1,038",,SEQR,,,,,12137,Schenectady,NY,Capital Region,Under Development,2024,20,19.99,19.99,41327,49592,,,POINT (-74.07787 42.88896)
10/20/2022,Tier 1,ELP Stuyvesant Solar,RESRFP21-1,,,Solar,New,,,East Light Partners,,,Capital,"1,171",,SEQR,,,,,12173,Columbia,NY,Capital Region,Under Development,2024,20,19.99,19.99,35898,43077,,,POINT (-73.78433 42.3879)
10/20/2022,Tier 1,ELP Ticonderoga Solar,RESRFP19-1,,72.19,Solar,New,,ELP Ticonderoga Solar LLC,East Light Partners,,,Capital,734,,SEQR,,,,,12883,Essex,NY,North Country,Under Development,2024,20,19.99,19.99,36798,44157,,,POINT (-73.42423 43.84879)
10/20/2022,Tier 1,Foothills Solar Farm,RESRFP21-1,,,Solar,New,,Foothills Solar LLC,Boralex,,,Capital,"1,182",,ORES,,,,,12117,Fulton,NY,Mohawk Valley,Under Development,2026,20,40,40,75336,90403,,,POINT (-74.26411 43.10464)
10/20/2022,Tier 1,Fort Covington Solar Farm,RESRFP21-1,,,Solar,New,,Fort Covington Solar LLC,Boralex,77,308,North,"1,183",,ORES,,,,,12937,Franklin,NY,North Country,Under Development,2026,20,250,250,473040,567648,,,POINT (-74.49412 44.98874)
10/20/2022,Tier 1,Fort Edward Solar Farm,RESRFP21-1,,,Solar,New,,Fort Edward Solar LLC,Boralex,,,Capital,"1,042",,ORES,,,,,12828,Washington,NY,Capital Region,Under Development,2025,20,100,100,192720,231264,,,POINT (-73.58658 43.26888)
10/20/2022,Tier 1,Greens Corners Solar,RESRFP19-1,14.98,,Solar,New,,Greens Corners Solar LLC,Boralex,,,Mohawk Valley,864,,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00982&CaseSearch=Search,,,,13601,Jefferson,NY,North Country,Under Development,2024,20,120,120,194472,233366,,,POINT (-75.91428 43.97586)
10/20/2022,Tier 1,Moss Ridge Solar,RESRFP21-1,,,Solar,New,,"Moss Ridge Solar 1, LLC",Borrego Solar Systems,,,Mohawk Valley,"1,150",,ORES,,,,,13681,St Lawrence,NY,North Country,Under Development,2027,20,60,60,86198,103437,,,POINT (-75.39336 44.41561)
10/20/2022,Tier 1,Newport Solar Farm,RESRFP21-1,,,Solar,New,,Newport Deerfield Solar LLC,Boralex,,,Mohawk Valley,"1,178",,ORES,,,,,13502,Oneida,NY,Mohawk Valley,Under Development,2026,20,130,130,244842,293810,,,POINT (-75.24245 43.10124)
10/20/2022,Tier 1,Roosevelt Solar,RESRFP21-1,,,Solar,New,,ReneSola Power Holdings LLC,ReneSola Ltd.,2,8,North,"1,212",,SEQR,,,,,13662,St Lawrence,NY,North Country,Under Development,2025,20,19.9,19.9,39397,47276,,,POINT (-74.89298 44.93182)
10/20/2022,Tier 1,Rutland Center Solar 1,RESRFP20-1,,51.17,Solar,New,,"Rutland Center Solar 1, LLC",Borrego Solar Systems,,,Mohawk Valley,"1,077",,ORES,,,,,13601,Jefferson,NY,North Country,Under Development,2025,20,110.2,110.2,208516,250219,,,POINT (-75.91428 43.97586)
10/20/2022,Tier 1,Sandy Creek Solar,RESRFP19-1,18.50,,Solar,New,,Sandy Creek Solar LLC,Boralex,,,Mohawk Valley,843,,SEQR,,,,,13605,Jefferson,NY,North Country,Under Development,2024,20,19.99,19.99,37649,45178,,,POINT (-76.02364 43.81029)
10/20/2022,Tier 1,Scotch Ridge Solar,RESRFP21-1,,,Solar,New,,"Scotch Ridge Solar, LLC",Nexamp,,,Capital,"1,227",,SEQR,,,,,12056,Schenectady,NY,Capital Region,Under Development,2023,20,20,20,40296,48355,,,POINT (-74.13576 42.76111)
10/20/2022,Tier 1,Sky High Solar,RESRFP17-1,,74.06,Solar,New,,"Sky High Solar, LLC",Boralex,,,Central,545,,SEQR,,,,,13159,Onondaga,NY,Central New York,Under Development,2023,20,19.99,19.99,36248,43497,,,POINT (-76.10971 42.79814)
10/20/2022,Tier 1,West River Solar,RESRFP19-1,14.80,,Solar,New,,West River Solar LLC,Boralex,,,Capital,"1,165",,SEQR,,,,,12831,Saratoga,NY,Capital Region,Under Development,2024,20,19.99,19.99,33446,40135,,,POINT (-73.65232 43.19646)
10/20/2022,Tier 2,Baldwinsville,T2RFP21-1,7.40,,Hydroelectric,,,Erie Boulevard Hydropower LP,Brookfield Renewable Trading and Marketing LP,,,Central,,,,,,,,13027,Onondaga,NY,Central New York,Operational,2021,3,,0.6,2693,2693,,,POINT (-76.33276 43.15867)
10/20/2022,Tier 2,Moose River Hydro,T2RFP21-1,7.97,,Hydroelectric,,,EONY Generation Limited,EONY Generation Limited,,,Mohawk Valley,,,,,,,,13368,Lewis,NY,North Country,Operational,2021,3,,12.2,53598,53598,,,POINT (-75.36537 43.61971)
10/20/2022,Tier 2,Talcville,T2RFP21-1,8.00,,Hydroelectric,,,Erie Boulevard Hydropower LP,Brookfield Renewable Trading and Marketing LP,,,Mohawk Valley,,,,,,,,13635,St Lawrence,NY,North Country,Operational,2021,3,,1.1,4075,4075,,,POINT (-75.24961 44.32655)
10/20/2022,Non-Tier 1,Niagara BioEnergy,2554,30.00,,Biogas - ADG,New,,,,,,West,,,,,,,,14304,Niagara,NY,Western New York,Operational,2019,10,0.85,0.81,4750,4750,,,POINT (-78.96669 43.08191)
10/20/2022,Tier 1,Bakerstand Solar 1,RESRFP18-1,,71.31,Solar,New,,Bakerstand Solar LLC,Olivewood Energy Development,,,West,667,,SEQR,,,,,14737,Cattaraugus,NY,Western New York,Under Development,2024,20,19.99,19.99,27703,33243,,,POINT (-78.4578 42.33745)
10/20/2022,Tier 1,Columbia Solar Energy Center,RESRFP21-1,,,Solar,New,,"Columbia Solar Energy Center, LLC",EDF Renewables Development,20,80,Mohawk Valley,857,,ORES,,,,,13357,Herkimer,NY,Mohawk Valley,Under Development,2026,20,350,350,646926,776311,,,POINT (-75.04217 43.0184)
10/20/2022,Tier 1,Darby Solar,RESRFP17-1,,76.57,Solar,New,,"Darby Solar, LLC",MN8 Energy,,,Capital,730,,SEQR,,,,,12154,Washington,NY,Capital Region,Under Development,2023,20,19.99,19.99,36774,44128,,,POINT (-73.58644 42.89705)
10/20/2022,Tier 1,Dolan Solar,RESRFP20-1,,59.85,Solar,New,,"Dolan Solar, LLC",CS Energy,,,Capital,833,,SEQR,,,,,12828,Washington,NY,Capital Region,Under Development,2025,20,19.99,19.99,40276,48331,,,POINT (-73.58658 43.26888)
10/20/2022,Tier 1,East Point Energy Center,RESRFP17-1,,78.68,Solar,New,,"East Point Energy Center, LLC",NextEra Energy Resources,,,Capital,619,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-f-0599,,,,13459,Schoharie,NY,Mohawk Valley,Under Development,2023,20,50,50,109631,131557,,,POINT (-74.61722 42.79531)
10/20/2022,Tier 1,ELP Stillwater Solar,RESRFP18-1,21.49,,Solar,New,,ELP Stillwater Solar LLC,MN8 Energy,,,Capital,735,,SEQR,,,,,12118,Saratoga,NY,Capital Region,Under Development,2023,20,19.99,19.99,32396,38875,,,POINT (-73.68506 42.90448)
10/20/2022,Tier 1,Excelsior Energy Center - Solar + Storage 2,RESRFP18-1,16.90,,Solar,New,,"Excelsior Energy Center, LLC",NextEra Energy Resources,20,80,West,721,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0299&submit=Search,,,,14422,Genesee,NY,Finger Lakes,Under Development,2024,20,280,280,591615,709938,,,POINT (-78.06382 43.07967)
10/20/2022,Tier 1,Flint Mine Solar,RESRFP17-1,,88.64,Solar,New,,"Flint Mine Solar, LLC",D. E. Shaw Renewable Investments,,,Hudson Valley,637,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-F-0087,,,,12051,Greene,NY,Capital Region,Under Development,2024,20,100,100,174412,209294,,,POINT (-73.80015 42.34806)
10/20/2022,Tier 1,Garnet Energy Center Storage 1,RESRFP19-1,21.50,,Solar,New,,"Garnet Energy Center, LLC",NextEra Energy Resources,20,80,Genesee,883,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-F-0043,,,,13140,Cayuga,NY,Central New York,Under Development,2024,20,200,200,453768,544521,,,POINT (-76.62291 43.03722)
10/20/2022,Tier 1,Grissom Solar,RESRFP17-1,,81.05,Solar,New,,"Grissom Solar, LLC",MN8 Energy,,,Capital,682,,SEQR,,,,,12095,Montgomery,NY,Mohawk Valley,Under Development,2022,20,19.99,19.99,33972,40766,,,POINT (-74.36846 43.00655)
10/20/2022,Tier 1,Hawthorn Solar,RESRFP20-1,,60.45,Solar,New,,"Hawthorn Solar, LLC",CS Energy,,,Capital,832,,SEQR,,,,,12090,Rensselaer,NY,Capital Region,Under Development,2025,20,19.99,19.99,39400,47280,,,POINT (-73.34957 42.90196)
10/20/2022,Tier 1,High River Energy Center,RESRFP17-1,,69.88,Solar,New,,"High River Energy Center, LLC",NextEra Energy Resources,,,Capital,618,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0597,,,,12010,Montgomery,NY,Mohawk Valley,Under Development,2024,20,90,90,167141,200569,,,POINT (-74.18893 42.93896)
10/20/2022,Tier 1,Homer Solar Energy Center,RESRFP20-1,,59.96,Solar,New,,"Homer Solar Energy Center, LLC",EDF Renewables Development,,,Central,276,,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00976&CaseSearch=Search,,,,13045,Cortland,NY,Central New York,Under Development,2025,20,90,90,168718,202461,,,POINT (-76.17484 42.60348)
10/20/2022,Tier 1,Janis Solar,RESRFP17-1,,,Solar,New,,"Janis Solar, LLC",MN8 Energy,,,Central,768,,SEQR,,,,,13040,Cortland,NY,Central New York,Under Development,2022,20,19.99,19.99,35898,43077,,,POINT (-75.89576 42.54157)
10/20/2022,Tier 1,Java Solar Energy Center,RESRFP17-1,19.50,,Solar,New,,Java Energy LLC,Invenergy,,,West,"12,380",,SEQR,,,,,14009,Wyoming,NY,Finger Lakes,Cancelled,,20,1.53,1.53,2039,2446,,,POINT (-78.42825 42.53383)
10/20/2022,Tier 1,Magruder Solar,RESRFP17-1,23.00,,Solar,New,,"Magruder Solar, LLC",CS Energy,,,Hudson Valley,744,,SEQR,,,,,12525,Ulster,NY,Mid-Hudson,Cancelled,,20,19.99,19.99,35022,42026,,,POINT (-74.1512 41.67999)
10/20/2022,Tier 1,Martin Rd Solar,RESRFP19-1,,68.8,Solar,New,,"Martin Rd Solar, LLC",Olivewood Energy Development,,,West,666,,SEQR,,,,,14101,Cattaraugus,NY,Western New York,Under Development,2024,20,19.99,19.99,33096,39715,,,POINT (-78.49038 42.4241)
10/20/2022,Tier 1,Mohawk Solar,RESRFP18-1,,65.39,Solar,New,,Mohawk Solar LLC,Avangrid Renewables,,,Capital,495,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0182,,,,13317,Montgomery,NY,Mohawk Valley,Under Development,2024,20,90.5,90.5,200321,240385,,,POINT (-74.57167 42.90692)
10/20/2022,Tier 1,Moraine Solar Energy Center,RESRFP20-1,,58.83,Solar,New,,Moraine Solar Energy LLC,EDF Renewables Development,5,20,Central,716,,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-00024&CaseSearch=Search,,,,14807,Allegany,NY,Western New York,Under Development,2025,20,93.55,93.55,183568,220281,,,POINT (-77.69597 42.39454)
10/20/2022,Tier 1,Morris Ridge Solar,RESRFP18-1,,72.06,Solar,New,,"Morris Ridge Solar Energy Center, LLC",EDF Renewables Development,,,Central,717,,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00025&CaseSearch=Search,,,,14510,Livingston,NY,Finger Lakes,Under Development,2024,20,177,177,319920,383904,,,POINT (-77.8741 42.72573)
10/20/2022,Tier 1,North Side Energy Center,RESRFP19-1,19.97,,Solar,New,,"North Side Energy Center, LLC",NextEra Energy Resources,,,North,620,,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0598&submit=Search,,,,13662,St Lawrence,NY,North Country,Under Development,2024,20,180,180,367394,440872,,,POINT (-74.89298 44.93182)
10/20/2022,Tier 1,Pattersonville,RESRFP17-1,,74.55,Solar,New,,Pattersonville Solar Facility LLC,MN8 Energy,,,Capital,638,,SEQR,,,,,12137,Schenectady,NY,Capital Region,Under Development,2023,20,19.99,19.99,40503,48603,,,POINT (-74.07787 42.88896)
