,DIVISION,ID,Longitude,Latitude,text
243,Syracuse,H887.1,-75.282174,43.136101,Syracuse H887.1
244,New York,B882.1,-74.112476,41.325521,New York B882.1
245,Buffalo,B194.1,-78.76343099999998,42.949363,Buffalo B194.1
246,Syracuse,H1087.2,-74.66876499999998,42.98826,Syracuse H1087.2
247,Albany,C173.1,-74.44644599999998,42.91803,Albany C173.1
248,Buffalo,H825.1,-78.81654799999998,42.792017,Buffalo H825.1
249,Buffalo,H1059.5,-78.408851,43.00563,Buffalo H1059.5
250,Syracuse,H1025.1,-76.632283,43.038979,Syracuse H1025.1
251,New York,B568.1,-73.85727699999998,40.92827,New York B568.1
252,New York,B284.2,-73.78351399999998,40.914084,New York B284.2
253,Syracuse,C30.1,-76.30070399999998,43.2288,Syracuse C30.1
254,New York,H1004.1,-74.07832399999998,41.665198,New York H1004.1
255,Albany,H81.1,-73.58268599999998,42.458893,Albany H81.1
256,New York,H952.1,-74.074245,41.103417,New York H952.1
257,Albany,H1043.1,-73.78117,42.632663,Albany H1043.1
258,Buffalo,C47.1,-77.63333699999998,43.116874,Buffalo C47.1
259,Albany,B130.1,-73.770431,42.508508,Albany B130.1
260,New York,B2225.1,-73.72869799999998,40.965515,New York B2225.1
261,New York,H877.1,-73.80701,40.885939,New York H877.1
262,Syracuse,B422.1,-76.227445,43.118019,Syracuse B422.1
263,Buffalo,H1117.5,-79.074043,42.577429,Buffalo H1117.5
